id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1577654769098842112,1577654769098842112,2022-10-05 15:39:43 Hora de verano romance,2022-10-05,15:39:43,+0200,1162694149956603904,thebridge_tech,The Bridge,,Ya están aquí nuestros primeros mini emprendedores 🤩 pasándoselo en grande mientras empiezan el proceso de ideación de sus proyectos-   Con el programa de @GenyusSchool descubren su YO emprendedor mientras se divierten👏  ¡Aún estás a tiempo!👉 https://t.co/uaEMCO1jGy  https://t.co/80gibJEUcI,es,"[{'screen_name': 'genyusschool', 'name': 'genyus school', 'id': '1481678057660424195'}]",['https://bit.ly/3Eky8S2'],['https://pbs.twimg.com/media/FeTz56VXgAEoODd.jpg'],0,2,3,[],[],https://twitter.com/TheBridge_Tech/status/1577654769098842112,False,,1,https://pbs.twimg.com/media/FeTz56VXgAEoODd.jpg,,,,,,,[],,,,
1577564440530124802,1577564440530124802,2022-10-05 09:40:47 Hora de verano romance,2022-10-05,09:40:47,+0200,1162694149956603904,thebridge_tech,The Bridge,,¡Feliz Día a nuestros Lead Instructors y Teacher Assistants! 🎉 Sabemos que en ocasiones un #bootcamp es duro para tod@s pero cada día dais el 💯%  ¡Gracias por hacer lo #digital mucho más fácil!  #diamundialdelosdocentes #data #ciber #desarrollowebfullstack #mkt #uxui #cloud  https://t.co/Qnehy8ODCq,es,[],[],['https://pbs.twimg.com/tweet_video_thumb/FeSgh40XgAAHqai.jpg'],0,2,2,"['bootcamp', 'digital', 'diamundialdelosdocentes', 'data', 'ciber', 'desarrollowebfullstack', 'mkt', 'uxui', 'cloud']",[],https://twitter.com/TheBridge_Tech/status/1577564440530124802,False,,1,https://pbs.twimg.com/tweet_video_thumb/FeSgh40XgAAHqai.jpg,,,,,,,[],,,,
1577334577701453827,1577334577701453827,2022-10-04 18:27:23 Hora de verano romance,2022-10-04,18:27:23,+0200,1003872445,paumugarra,Pau Mugarra,,"Recordaros que la semana que viene tenemos la primera quedada #CPS en Madrid, en @TheBridge_Tech, en el que tendremos la gran suerte de contar con @Recuenco para que nos dé una charla. Las plazas se han agotado, pero os podéis apuntar al grupo para próximas quedadas 🚀",es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'recuenco', 'name': 'javier g. recuenco', 'id': '7154412'}]",[],[],0,2,12,['cps'],[],https://twitter.com/PauMugarra/status/1577334577701453827,False,,0,,,,,,,,[],,,,
1576951801047179264,1576951801047179264,2022-10-03 17:06:22 Hora de verano romance,2022-10-03,17:06:22,+0200,1162694149956603904,thebridge_tech,The Bridge,,"¡Vuelven las #becas Digital Talent Pipeline!  1⃣0⃣0⃣ becas para formarte en la próxima edición de nuestros #bootcamp en Madrid, Valencia y Sevilla.  ¡Solicita ya tu beca!🏃‍♀️ https://t.co/V5kikwpJrD  #dtp #becasformacion #digitaltalent  https://t.co/q7RVbD2iLU",es,[],['https://bit.ly/3CpTvQC'],['https://pbs.twimg.com/media/FeJ01sEWAAEuiPI.jpg'],0,1,1,"['becas', 'bootcamp', 'dtp', 'becasformacion', 'digitaltalent']",[],https://twitter.com/TheBridge_Tech/status/1576951801047179264,False,,1,https://pbs.twimg.com/media/FeJ01sEWAAEuiPI.jpg,,,,,,,[],,,,
1576902991507922944,1576902991507922944,2022-10-03 13:52:25 Hora de verano romance,2022-10-03,13:52:25,+0200,2529499620,formacion_fuc3,Formación Fundación Universidad Carlos III,,El desarrollador web es uno de los perfiles más demandados en el mercado laboral 📈  Descubre nuestro #bootcamp Desarrollo Web Full Stack de la mano de @TheBridge_Tech 💻  Toda la información aquí! 👇  https://t.co/LOoTu97aQq  https://t.co/xpaAzxXSDX,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://fundacion-uc3.thebridge.tech/bootcamp-full-stack'],['https://pbs.twimg.com/media/FeJI53SWIAI1WiY.jpg'],0,3,3,['bootcamp'],[],https://twitter.com/formacion_fuc3/status/1576902991507922944,False,,1,https://pbs.twimg.com/media/FeJI53SWIAI1WiY.jpg,,,,,,,[],,,,
1576856703349374976,1576846293179457536,2022-10-03 10:48:29 Hora de verano romance,2022-10-03,10:48:29,+0200,706520411551494145,jose_sola_,JoseSola,,@jorgegrev @TheBridge_Tech Enhorabuena crack!,es,[],[],[],0,0,1,[],[],https://twitter.com/Jose_Sola_/status/1576856703349374976,False,,0,,,,,,,,"[{'screen_name': 'jorgegrev', 'name': 'Jorge González Revilla', 'id': '2402179123'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
1575217357105946624,1575217357105946624,2022-09-28 22:14:18 Hora de verano romance,2022-09-28,22:14:18,+0200,604485175,bertinha84,Berta Otero,,Hoy por fin ve la luz mi primer Case Study público. Un trabajo intensivo de fin de bootcamp realizado con un cliente real @emancipaTIC  y dos semanas para que las 5 verticales en @TheBridge_Tech hiciésemos realidad un MVP. Os invito a verlo y dar feedback.  https://t.co/rkCjxulYS9  https://t.co/PqM0dvxj3X,es,"[{'screen_name': 'emancipatic', 'name': 'emancipatic', 'id': '917321990465351681'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://link.medium.com/P0UQiQkpHtb'],['https://pbs.twimg.com/media/FdxLlU_WAAMBuCl.jpg'],0,3,4,[],[],https://twitter.com/bertinha84/status/1575217357105946624,False,,1,https://pbs.twimg.com/media/FdxLlU_WAAMBuCl.jpg,,,,,,,[],,,,
1575074337761132545,1575074337761132545,2022-09-28 12:46:00 Hora de verano romance,2022-09-28,12:46:00,+0200,1162694149956603904,thebridge_tech,The Bridge,,¡Nuevo acuerdo de colaboración con @michaelpage_es! 🤝  👩‍💻Alianza clave en nuestro objetivo de reducir la brecha de competencias digitales y dotar de profesionales técnicos a las empresas.  #brechadigital #empleabilidad #digitaltalent  https://t.co/tEFiLxMjnA,es,"[{'screen_name': 'michaelpage_es', 'name': 'michael page españa', 'id': '198936952'}]",[],['https://pbs.twimg.com/media/FdFH7u6XEAA4bRf.jpg'],0,1,4,"['brechadigital', 'empleabilidad', 'digitaltalent']",[],https://twitter.com/TheBridge_Tech/status/1575074337761132545,False,,1,https://pbs.twimg.com/media/FdFH7u6XEAA4bRf.jpg,,,,,,,[],,,,
1574849353172373504,1574849353172373504,2022-09-27 21:51:59 Hora de verano romance,2022-09-27,21:51:59,+0200,1391838162830385165,apiuxtecnologia,Apiux Tecnología,,"¿Eres o quieres ser talento IT y estás en España? 🇪🇸 Si la respuesta es sí, te contamos que tenemos alianzas con @IDBootcamps y @TheBridge_Tech💻  Estamos felices abrir nuestras puertas para que estudiantes de nuestros partners se conviertan en futuros Yellowers 🥳",es,"[{'screen_name': 'idbootcamps', 'name': 'id bootcamps', 'id': '1392422091434168323'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],[],1,1,2,[],[],https://twitter.com/Apiuxtecnologia/status/1574849353172373504,False,,0,,,,,,,,[],,,,
1574307391029579777,1574307391029579777,2022-09-26 09:58:25 Hora de verano romance,2022-09-26,09:58:25,+0200,1162694149956603904,thebridge_tech,The Bridge,,¡Estamos muy orgullosos de formar equipo junto a @Stemdo_io! Participando en la formación de sus futuros empleados con el #bootcamp de #cloud y #devops 🧑‍💻  Ayudando a desarrollar el talento y empleo digital en zonas con alta tasa de paro y pocas oportunidades en el sector #STEM.,es,"[{'screen_name': 'stemdo_io', 'name': 'stemdo', 'id': '1533986114285015040'}]",[],[],0,2,3,"['bootcamp', 'cloud', 'devops', 'stem']",[],https://twitter.com/TheBridge_Tech/status/1574307391029579777,False,https://twitter.com/david_bonilla/status/1572909321913962496,0,,,,,,,,[],,,,
