id,tweet,date,retweets_count,replies_count,likes_count,quote_url,sentiment,tidy_tweets,absolute_tidy_tweets
1577654769098842112,Ya están aquí nuestros primeros mini emprendedores 🤩 pasándoselo en grande mientras empiezan el proceso de ideación de sus proyectos-   Con el programa de @GenyusSchool descubren su YO emprendedor mientras se divierten👏  ¡Aún estás a tiempo!👉 https://t.co/uaEMCO1jGy  https://t.co/80gibJEUcI,2022-10-05,2,0,3,,pos,ya están aquí nuestros primeros mini emprendedores  pasándoselo en grande mientras empiezan el proceso de ideación de sus proyectos  con el programa de  descubren su yo emprendedor mientras se divierten aún estás a tiempo,aquí primeros mini emprendedores pasándoselo grande mientras empiezan proceso ideación proyectos programa descubren emprendedor mientras divierten aún tiempo
1577564440530124802,¡Feliz Día a nuestros Lead Instructors y Teacher Assistants! 🎉 Sabemos que en ocasiones un #bootcamp es duro para tod@s pero cada día dais el 💯%  ¡Gracias por hacer lo #digital mucho más fácil!  #diamundialdelosdocentes #data #ciber #desarrollowebfullstack #mkt #uxui #cloud  https://t.co/Qnehy8ODCq,2022-10-05,2,0,2,,pos,feliz día a nuestros lead instructors y teacher assistants  sabemos que en ocasiones un bootcamp es duro para tod pero cada día dais el  gracias por hacer lo digital mucho más fácil diamundialdelosdocentes data ciber desarrollowebfullstack mkt uxui cloud,feliz día lead instructors teacher assistants sabemos ocasiones bootcamp duro tod cada día dais gracias hacer digital fácil diamundialdelosdocentes data ciber desarrollowebfullstack mkt uxui cloud
1577334577701453827,"Recordaros que la semana que viene tenemos la primera quedada #CPS en Madrid, en @TheBridge_Tech, en el que tendremos la gran suerte de contar con @Recuenco para que nos dé una charla. Las plazas se han agotado, pero os podéis apuntar al grupo para próximas quedadas 🚀",2022-10-04,2,0,12,,pos,recordaros que la semana que viene tenemos la primera quedada cps en madrid en  en el que tendremos la gran suerte de contar con  para que nos dé una charla las plazas se han agotado pero os podéis apuntar al grupo para próximas quedadas ,recordaros semana viene primera quedada cps madrid gran suerte contar dé charla plazas agotado podéis apuntar grupo próximas quedadas
1576951801047179264,"¡Vuelven las #becas Digital Talent Pipeline!  1⃣0⃣0⃣ becas para formarte en la próxima edición de nuestros #bootcamp en Madrid, Valencia y Sevilla.  ¡Solicita ya tu beca!🏃‍♀️ https://t.co/V5kikwpJrD  #dtp #becasformacion #digitaltalent  https://t.co/q7RVbD2iLU",2022-10-03,1,0,1,,pos,vuelven las becas digital talent pipeline  becas para formarte en la próxima edición de nuestros bootcamp en madrid valencia y sevilla solicita ya tu beca‍ dtp becasformacion digitaltalent,vuelven becas digital talent pipeline becas formarte próxima edición bootcamp madrid valencia sevilla solicita beca‍ dtp becasformacion digitaltalent
1576902991507922944,El desarrollador web es uno de los perfiles más demandados en el mercado laboral 📈  Descubre nuestro #bootcamp Desarrollo Web Full Stack de la mano de @TheBridge_Tech 💻  Toda la información aquí! 👇  https://t.co/LOoTu97aQq  https://t.co/xpaAzxXSDX,2022-10-03,3,0,3,,pos,el desarrollador web es uno de los perfiles más demandados en el mercado laboral  descubre nuestro bootcamp desarrollo web full stack de la mano de   toda la información aquí ,desarrollador web perfiles demandados mercado laboral descubre bootcamp desarrollo web full stack mano toda información aquí
1576856703349374976,@jorgegrev @TheBridge_Tech Enhorabuena crack!,2022-10-03,0,0,1,,pos,  enhorabuena crack,enhorabuena crack
1575217357105946624,Hoy por fin ve la luz mi primer Case Study público. Un trabajo intensivo de fin de bootcamp realizado con un cliente real @emancipaTIC  y dos semanas para que las 5 verticales en @TheBridge_Tech hiciésemos realidad un MVP. Os invito a verlo y dar feedback.  https://t.co/rkCjxulYS9  https://t.co/PqM0dvxj3X,2022-09-28,3,0,4,,pos,hoy por fin ve la luz mi primer case study público un trabajo intensivo de fin de bootcamp realizado con un cliente real  y dos semanas para que las  verticales en  hiciésemos realidad un mvp os invito a verlo y dar feedback,hoy fin ve luz primer case study público trabajo intensivo fin bootcamp realizado cliente real dos semanas verticales hiciésemos realidad mvp invito verlo dar feedback
1575074337761132545,¡Nuevo acuerdo de colaboración con @michaelpage_es! 🤝  👩‍💻Alianza clave en nuestro objetivo de reducir la brecha de competencias digitales y dotar de profesionales técnicos a las empresas.  #brechadigital #empleabilidad #digitaltalent  https://t.co/tEFiLxMjnA,2022-09-28,1,0,4,,pos,nuevo acuerdo de colaboración con   ‍alianza clave en nuestro objetivo de reducir la brecha de competencias digitales y dotar de profesionales técnicos a las empresas brechadigital empleabilidad digitaltalent,nuevo acuerdo colaboración ‍alianza clave objetivo reducir brecha competencias digitales dotar profesionales técnicos empresas brechadigital empleabilidad digitaltalent
1574849353172373504,"¿Eres o quieres ser talento IT y estás en España? 🇪🇸 Si la respuesta es sí, te contamos que tenemos alianzas con @IDBootcamps y @TheBridge_Tech💻  Estamos felices abrir nuestras puertas para que estudiantes de nuestros partners se conviertan en futuros Yellowers 🥳",2022-09-27,1,1,2,,pos,eres o quieres ser talento it y estás en españa  si la respuesta es sí te contamos que tenemos alianzas con  y  estamos felices abrir nuestras puertas para que estudiantes de nuestros partners se conviertan en futuros yellowers 🥳,quieres ser talento it españa si respuesta contamos alianzas felices abrir puertas estudiantes partners conviertan futuros yellowers 🥳
1574307391029579777,¡Estamos muy orgullosos de formar equipo junto a @Stemdo_io! Participando en la formación de sus futuros empleados con el #bootcamp de #cloud y #devops 🧑‍💻  Ayudando a desarrollar el talento y empleo digital en zonas con alta tasa de paro y pocas oportunidades en el sector #STEM.,2022-09-26,2,0,3,https://twitter.com/david_bonilla/status/1572909321913962496,pos,estamos muy orgullosos de formar equipo junto a  participando en la formación de sus futuros empleados con el bootcamp de cloud y devops 🧑‍ ayudando a desarrollar el talento y empleo digital en zonas con alta tasa de paro y pocas oportunidades en el sector stem,orgullosos formar equipo junto participando formación futuros empleados bootcamp cloud devops 🧑‍ ayudando desarrollar talento empleo digital zonas alta tasa paro pocas oportunidades sector stem
